Name,Registration No.,Validity,E-mail,Contact Person,Address,Correspondence Address,Telephone,Fax No.,State,City
Rukam Capital Trust,IN/AIF2/19-20/0705,"Jun 11, 2019 - Perpetual",archana.jahagirdar@gmail.com,Archana Jahagirdar,"C13, First Floor, SDA Commercial Complex, Hauz Khas, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110016","C13, First Floor, SDA Commercial Complex, Hauz Khas, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110016",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Rukam Sitara Trust,IN/AIF2/22-23/1250,"Mar 23, 2023 - Perpetual",archana@rukamcapital.com,Archana Jahagirdar,"4A Ocus Technopolis Sector 54 Golf Club Road Gurgaon Haryana 122002 India, GURGAON, HARYANA, 122002","C 13 First Floor Rear entry SDA Commercial Complex Hauz Khas New Delhi 110016 India, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110016",9100000000000.0,9100000000000.0,HARYANA,NEW DELHI
Ruvi Infotech Trust,IN/AIF3/23-24/1393,"Nov 29, 2023 - Perpetual",ruviinfotech@gmail.com,Aakash Shah,"4 Bhagat Niwas, Manchhubhai road, Near Suchak Hospital, Malad, MUMBAI, MAHARASHTRA, 400064","FLAT NO.406, B WING, BLDG. NO. 02, YASHWANT SHRISHTI, SHANTI, BOISAR, THANE, MAHARASHTRA, 401501",,,MAHARASHTRA,MUMBAI
RV Capital India Credit Plus Fund,IN/AIF2/22-23/1209,"Feb 16, 2023 - Perpetual",notifications-india@rvcapital.com,Shyamal Karmakar,"The Capital, A/1204, Unit No.S-5,S-7,12th floor, A wing, G Block, Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051","The Capital, A/1204, Unit No.S-5,S-7,12th floor, A wing, G Block, Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
RV Capital India Credit Trust,IN/AIF2/25-26/1933,"Oct 23, 2025 - Perpetual",skarmakar@rvcapital.com,Shyamal Karmakar,"The Capital, A1204, Unit no. S5 S7, 12th floor A wing G block, Bandra kurla complex, MUMBAI, MAHARASHTRA, 400051","The Capital, A1204, Unit no. S5 S7, 12th floor A wing G block, Bandra kurla complex, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
RVCF INDIA GROWTH FUND IV,IN/AIF2/22-23/1191,"Jan 17, 2023 - Perpetual",SUNEETMATHUR@RVCF.ORG,SUNEET MATHUR,"7th Floor Ganga Heights, Bapu Nagar Tonk Road Jaipur, JAIPUR, RAJASTHAN, 302015","7th Floor Ganga Heights, Bapu Nagar Tonk Road Jaipur, JAIPUR, RAJASTHAN, 302015",,,RAJASTHAN,JAIPUR
RVCF TRUST III,IN/AIF1/15-16/0139,"Apr 01, 2015 - Perpetual",,,,,,,,
SAAMAG REALTY TRUST,IN/AIF2/13-14/0053,"May 14, 2013 - Perpetual",,,,,,,,
SABHYA TRUST,IN/AIF3/25-26/1801,"May 05, 2025 - Perpetual",sgbinvestmentmanagersllp@gmail.com,SAHIL BHATIA,"Flat No 605, Sethi Bhawan, Plot No7, Rajendra Place, Patel Nagar, Central Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110008","Flat No 605, Sethi Bhawan, Plot No7, Rajendra Place, Patel Nagar, Central Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110008",,,NATIONAL CAPITAL TERRITORY OF DELHI,
SABRE PARTNERS TRUST,IN/AIF2/12-13/0006,"Aug 14, 2012 - Perpetual",,,,,,,,
Sabre Partners AIF Trust,IN/AIF2/18-19/0588,"Sep 19, 2018 - Perpetual",finance@sabrecap.co.in,Sukesh Khandelwal,"HD 190 WeWork Enam Sambhav C 20 G Block, Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051","HD 190 WeWork Enam Sambhav C 20 G Block, Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051",9100000000000.0,9100000000000.0,MAHARASHTRA,MUMBAI
Sadev Capital Trust,IN/AIF1/23-24/1404,"Dec 11, 2023 - Perpetual",dhruvdbahl@gmail.com,Dhruv Dhanraj Bahl,"303, Mansarovar, , 90, Nehru Palace, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","303, Mansarovar, , 90, Nehru Palace, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
SAFAL DIGIFIN GROWTH TRUST,IN/AIF3/25-26/2089,"Mar 11, 2026 - Perpetual",sanjay@digifinadvisors.com,Sanjay Agarwal,"Shop No 350-1 New Cloth Mkt, O s Raipur Gate N C Market, AHMEDABAD, GUJARAT, 380002",,,,GUJARAT,RAIPUR
Sagacia Trust,IN/AIF2/22-23/1035,"Apr 04, 2022 - Perpetual",secretariat@sagacia.in,Rakesh Dubey,"E30 Ground Floor Sushant Lok I, GURGAON, HARYANA, 122009","C507 The Courtyard, Nirvana Country Sector 50, GURGAON, HARYANA, 122018",,,HARYANA,
Sagacious Alternate Investment Trust,IN/AIF3/24-25/1587,"Sep 04, 2024 - Perpetual",prankushbansal@sagaciousinvest.com,Prankush Bansal,"Block 3A, 7th Floor, Eco Space, New Town, North 24 Parganas, KOLKATA, WEST BENGAL, 700156","Block 3A, 7th Floor, Eco Space, New Town, North 24 Parganas, KOLKATA, WEST BENGAL, 700156",,,WEST BENGAL,KOLKATA
SAGEONE INDIA OPPORTUNITY TRUST,IN/AIF3/19-20/0711,"Jun 26, 2019 - Perpetual",sv@sageoneinvestments.com,SAMIT VARTAK,"OFFICE NO. 10, 4TH FLOOR, SUYOG PLATINUM TOWER, NAYLOR ROAD,, OFF MANGALDAS ROAD, NEAR CONRAD HOTEL, KOREGAON PARK,, PUNE, MAHARASHTRA, 411001","OFFICE NO. 10, 4TH FLOOR, SUYOG PLATINUM TOWER, NAYLOR ROAD, OFF MANGALDAS ROAD, NEAR CONRAD HOTEL, KOREGAON PARK, PUNE, MAHARASHTRA, 411001",,,MAHARASHTRA,
SAHA TRUST,IN/AIF1/15-16/0175,"Oct 06, 2015 - Perpetual",,,,,,,,
Sakman Capital Trust,IN/AIF3/24-25/1495,"Apr 08, 2024 - Perpetual",sameerbaisiwala@sakmancapital.com,Sameer Baisiwala,"1619, 16th Floor, One Lodha Place, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","1619, 16th Floor, One Lodha Place, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
SALAMANDER EXCUBATOR ANGEL (SEA) FUND,IN/AIF1/16-17/0263,"Sep 26, 2016 - Perpetual",,,"Ebony 1203A, Godrej Woodsman Estate, Hebbal, Bangalore, BANGALORE, KARNATAKA, 560024",,,,KARNATAKA,BANGALORE
SALIL CHAKRABARTY INNOVATION FUND,IN/AIF1/22-23/1102,"Jul 13, 2022 - Perpetual",sousthav@gmail.com,Sousthav Chakrabarty,"Villa No 176 Rainbow Residency, Near Wipro Corp Office Sarjapur Main Road, BANGALORE, KARNATAKA, 560035","Villa No 176 Rainbow Residency, Near Wipro Corp Office Sarjapur Main Road, BANGALORE, KARNATAKA, 560035",,,KARNATAKA,BANGALORE
Samana Global Fund,IN/AIF2/18-19/0629,"Jan 18, 2019 - Perpetual",investmentmanager@ibmcglobal.com,Binu Appukuttan,"Door No 3 1043 A85 5th Floor Hilite Business Park, Bye Pass Road Thondayad Kozhikode, KOZHIKODE, KERALA, 673014","Door No 3 1043 A85 5th Floor Hilite Business Park, Bye Pass Road Thondayad Kozhikode, KOZHIKODE, KERALA, 673014",,,KERALA,
Samara Alternate Investment Fund,IN/AIF2/17-18/0351,"Jul 14, 2017 - Perpetual",,,"131, 13th Floor, Free Press House, Nariman Point, Mumbai, MUMBAI, MAHARASHTRA, 400021",,,,MAHARASHTRA,MUMBAI
Samara Alternate Investment Fund III India,IN/AIF2/23-24/1305,"Jun 30, 2023 - Perpetual",shilpa@samaracapital.com,Shilpa Gurnani,"Level 18, Birla Aurora, Dr Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030","Level 18, Birla Aurora, Dr Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030",,,MAHARASHTRA,MUMBAI
Samara Alternate Long-Term Investment Opportunities Fund 2025,IN/AIF2/25-26/1946,"Nov 03, 2025 - Perpetual",pratik@samaracapital.com,Pratik Shah,"Level 18, Birla Aurora, Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030","Level 18, Birla Aurora, Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030",,,MAHARASHTRA,MUMBAI
SAMARSH CAPITAL,IN/AIF2/24-25/1620,"Oct 31, 2024 - Perpetual",SANDEEP@SAMARSHCAPITAL.COM,SANDEEP SHENOY,"Office No. 01, 5th Floor, 1 Sobha, 50 St. Marks Raod, BANGALORE, KARNATAKA, 560001","Office No. 01, 5th Floor, 1 Sobha, 50 St. Marks Raod, BANGALORE, KARNATAKA, 560001",,,KARNATAKA,BANGALORE
Samarth Wealth Management Trust,IN/AIF3/24-25/1680,"Jan 06, 2025 - Perpetual",shivaji@samarthwealthmanagement.com,Shivaji Vitthalrao,"347 2B, 9 Main, 5th Cross, Opp Subhash Bhawan, Rajarajeshwarinagar, BANGALORE, KARNATAKA, 560098","347 2B, 9 Main, 5th Cross, Opp Subhash Bhawan, Rajarajeshwarinagar, BANGALORE, KARNATAKA, 560098",,,KARNATAKA,BANGALORE
Sameeksha Capital Investment Fund,IN/AIF3/18-19/0640,"Feb 26, 2019 - Perpetual",ishaan.vyas@nishithdesai.com,Ishaan Vyas,"South Tower-1202, One42, B/H Ashok Vatika, Nr. Jayantilal Park Brts, Ambli Bopal Road,, AHMEDABAD, GUJARAT, 380058","South Tower-1202, One42, B/H Ashok Vatika, Nr. Jayantilal Park Brts, Ambli Bopal Road, AHMEDABAD, GUJARAT, 380058",,,GUJARAT,
Sampattika Investment Fund,IN/AIF2/25-26/2004,"Dec 30, 2025 - Perpetual",info@sampattika.in,ANKIT MEHROTRA,"1107 Ratnakar 9, Square Building, 11th Floor, Block A, Keshav Baug, Vastrapur, Polytechnic, AHMEDABAD, GUJARAT, 380015","1107 Ratnakar 9, Square Building, 11th Floor, Block A, Keshav Baug, Vastrapur, Polytechnic, AHMEDABAD, GUJARAT, 380015",,,GUJARAT,
Samraddh Bharat Trust,IN/AIF3/25-26/1986,"Dec 11, 2025 - Perpetual",bharat.sharma@samraddhbharat.com,Bharat Sharma,"Office No. A-1404, Oberoi Splendor,, Opp Majas Depot, JVLR, Andheri East,, MUMBAI, MAHARASHTRA, 400060","Office No. A-1404, Oberoi Splendor, Opp Majas Depot, JVLR, Andheri East, MUMBAI, MAHARASHTRA, 400060",,,MAHARASHTRA,MUMBAI
SAMVITTI CAPITAL ALPHA FUND,IN/AIF3/15-16/0182,"Nov 05, 2015 - Perpetual",,,,,,,,
SAMVITTI CAPITAL ALTERNATIVE INVESTMENT FUND,IN/AIF3/15-16/0153,"Jun 04, 2015 - Perpetual",,,,,,,,
Sanhit Investment Trust,IN/AIF3/25-26/1786,"Apr 07, 2025 - Perpetual",mohit@sanhitventures.com,Mohit Gupta,"308 Olympus Prestige Acropolis Apartment No 20 , Hosur Road Koramangala Bangalore 560029 Karnataka, BANGALORE, KARNATAKA, 560029","308 Olympus Prestige Acropolis Apartment No 20 , Hosur Road Koramangala Bangalore 560029 Karnataka, BANGALORE, KARNATAKA, 560029",,,KARNATAKA,BANGALORE
Sanshi Trust,IN/AIF3/24-25/1632,"Nov 12, 2024 - Perpetual",deepak@sanshifund.com,Deepak Agrawal,"205, The Capital, Plot No C 70 , Block G, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","205, The Capital, Plot No C 70 , Block G, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
SAPHALATA EQUITY AIF,IN/AIF3/21-22/1027,"Mar 29, 2022 - Perpetual",chetan.shah@pwc.com,Chetan Shah,"2601 Leona CHS, Rodas Enclave, Hiranandani Estate, GB Road, Thane 400607, THANE, MAHARASHTRA, 400607","2601 Leona CHS, Rodas Enclave, Hiranandani Estate, GB Road, Thane 400607, THANE, MAHARASHTRA, 400607",,,MAHARASHTRA,
Saravana Global Capital Trust,IN/AIF2/22-23/1236,"Mar 14, 2023 - Perpetual",ajitpchallani@saravanaenergy.com,Ajit Challani,"2B, Suvidha, 37, 6th Main Road, R A Puram, CHENNAI, TAMIL NADU, 600028","2B, Suvidha, 37, 6th Main Road, R A Puram, CHENNAI, TAMIL NADU, 600028",,,TAMIL NADU,CHENNAI
SARCAP INVESTMENT TRUST,IN/AIF3/19-20/0743,"Nov 07, 2019 - Perpetual",bhavya.jain@sarcap.in,BHAVYA JAIN,"4718/21A,Dayanand Road, Darya Ganj, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110002","4718/21A,Dayanand Road, Darya Ganj, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110002",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
SarvaMangal Investment Trust,IN/AIF3/25-26/2049,"Feb 16, 2026 - Perpetual",info@sarvamangalaif.in,Priyadarshi Srivastava,"Block A, F 02 6th Floor, Safal, Profitair Prahalad Nagar, Jivraj Park, AHMEDABAD, GUJARAT, 380051","Block A, F 02 6th Floor, Safal, Profitair Prahalad Nagar, Jivraj Park, AHMEDABAD, GUJARAT, 380051",,,GUJARAT,
Sarvara Investment Fund,IN/AIF2/19-20/0757,"Dec 13, 2019 - Perpetual",ighosh-consult@cerberusuk.com,Indranil Ghosh,"The Capital, 9th Floor, 904 B, Plot No. C 70, G Block, Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051","The Capital, 9th Floor, 904 B, Plot No. C 70, G Block, Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051",9100000000000.0,9100000000000.0,MAHARASHTRA,MUMBAI
Sathguru Catalysers Trust,IN/AIF1/16-17/0270,"Oct 26, 2016 - Perpetual",,,"PLOT NO 54 SAGAR SOCIETY, ROAD NO 2 BANJARA HILLS, HYDERABAD, TELANGANA, 500034",,,,TELANGANA,HYDERABAD
SATURN TRUST,IN/AIF2/19-20/0682,"Apr 22, 2019 - Perpetual",advisorsprithvi@gmail.com,PANKAJ SARAOGI,"A12, Second Floor, Lajpat Nagar II,, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110024","A12, Second Floor, Lajpat Nagar II, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110024",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
SAUCE CAPITAL TRUST,IN/AIF1/19-20/0700,"Jun 04, 2019 - Perpetual",manu@sauce.vc,Manu Chandra,"601, 6th floor, Fortune Heights, Bandra West, MUMBAI, MAHARASHTRA, 400050","601, 6th Floor, Fortune Heights, 29th Road, Bandra West, MUMBAI, MAHARASHTRA, 400050",,,MAHARASHTRA,MUMBAI
SAUCE CAPITAL TRUST II,IN/AIF2/21-22/0907,"Jul 14, 2021 - Perpetual",zoeb@sauce.vc,Zoeb Khan,"601 Fortune Heights, 29th Road, Bandra West, MUMBAI, MAHARASHTRA, 400050","601 Fortune Heights, 29th Road, Bandra West, MUMBAI, MAHARASHTRA, 400050",,,MAHARASHTRA,MUMBAI
SAUCE CAPITAL TRUST III,IN/AIF2/23-24/1460,"Mar 22, 2024 - Perpetual",zoeb@sauce.vc,Zoeb Khan,"M 11, Tara Apartment Kalkaji, , Near New Green Field School, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","M 11, Tara Apartment Kalkaji, , Near New Green Field School, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
SAUCE CONTINUITY TRUST,IN/AIF2/22-23/1107,"Jul 15, 2022 - Perpetual",compliance@sauce.vc,Zoeb Khan,"M 11, Tara Apartment Kalkaji Near New Green Field School, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","M 11, Tara Apartment Kalkaji Near New Green Field School, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Sauce Continuity Trust II,IN/AIF2/25-26/1891,"Sep 03, 2025 - Perpetual",compliance@sauce.vc,Manu Chandra,"No 13 GF Gate 4 Nizamuddin East Near Railway Station, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110013","Workwell Suites 1004 B Level 10 Max House Tower A Okhla Phase III Okhla Industrial Estate, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110020",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
SAVEDA VENTURE CAPITAL FUND,IN/AIF1/13-14/0067,"Jul 29, 2013 - Perpetual",,,,,,,,
SB Growth Fund,IN/AIF2/23-24/1383,"Nov 16, 2023 - Perpetual",kvsmano@goeltmt.com,SRINIVASAN MANOHARAN,"808A C Wing One BKC Bandra Kurla Complex Bandra East Mumbai 400051, MUMBAI, MAHARASHTRA, 400051","808A C Wing One BKC Bandra Kurla Complex Bandra East Mumbai 400051, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
SBI Alternative Debt Fund,IN/AIF2/18-19/0563,"Jul 12, 2018 - Perpetual",Compliance2@sbimf.com,Vinaya Datar,"9th Floor, C-38 & 39, Cresenzo, G Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","9th Floor, C-38 & 39, Cresenzo, G Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
SBI ALTERNATIVE EQUITY FUND,IN/AIF3/15-16/0177,"Oct 15, 2015 - Perpetual",vinaya.datar@sbimf.co.in,Vinaya Datar,,,,,,
SBI Macquarie Infrastructure Trust,IN/AIF1/25-26/1895,"Sep 04, 2025 - Perpetual",Deepika.periwal@macquarie.com,Deepika Periwal,"92, Level 9, 2 North Avenue, Maxer Maxity, Bandra Kurla Complex, Bandra (East), Mumbai, MUMBAI, MAHARASHTRA, 400051","92, Level 9, 2 North Avenue, Maxer Maxity, Bandra Kurla Complex, Bandra (East), Mumbai, MUMBAI, MAHARASHTRA, 400051",0.0,0.0,MAHARASHTRA,MUMBAI
SC Credit Trust formerly known as Catalyst Fund Trust,IN/AIF2/16-17/0276,"Nov 16, 2016 - Perpetual",,,"532/533 Arun Chambers, 5th Floor, Tardeo , Mumbai, MUMBAI, MAHARASHTRA, 400034",,,,MAHARASHTRA,MUMBAI
SC Founders Trust,IN/AIF2/23-24/1382,"Nov 15, 2023 - Perpetual",anisha@shecapital.vc,Anisha Singh,"25, Palam Marg, Vasant Vihar, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110057","25, Palam Marg, Vasant Vihar, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110057",,,NATIONAL CAPITAL TERRITORY OF DELHI,
Scale Up Trust,IN/AIF1/24-25/1663,"Dec 09, 2024 - Perpetual",investmenteaf23@gmail.com,Koushik Sekhar,"10, Devanathan Colony, West Mambalam, Chennai, Tamil Nadu, CHENNAI, TAMIL NADU, 600033","10, Devanathan Colony, West Mambalam, Chennai, Tamil Nadu, CHENNAI, TAMIL NADU, 600033",,,TAMIL NADU,CHENNAI
Scale Ventures Trust,IN/AIF1/16-17/0274,"Nov 08, 2016 - Perpetual",,,"F no 1 PL no 187 by 1 by 2 S no 851 by 2, Bhandarkar Road, Deccan Gymkhana, PUNE, MAHARASHTRA, 411004",,,,MAHARASHTRA,
Scient Capital Alternative Investment Fund,IN/AIF2/17-18/0355,"Jul 27, 2017 - Perpetual",,,"H-532, Kanakia Zillion Building, BKC Annex, Kurla West, MUMBAI, MAHARASHTRA, 400070",,,,MAHARASHTRA,MUMBAI
SCP India Fund I,IN/AIF1/15-16/0198,"Jan 14, 2016 - Perpetual",,,"41 Ground Floor Plot 571 14, Harbour Crest Building Shivdas Chapsi Marg Mazgaon, MUMBAI, MAHARASHTRA, 400010",,,,MAHARASHTRA,MUMBAI
SEAF INDIA AGRIBUSINESS FUND II,IN/AIF2/15-16/0156,"Jun 18, 2015 - Perpetual",,,"Flat No. 32 402 , B Wing, 4th Floor,Dindoshi Ekta CHS LTD, Film City Road, Malad East, MUMBAI, MAHARASHTRA, 400097",,,,MAHARASHTRA,MUMBAI
SEAFUND VENTURE INDIA TRUST,IN/AIF2/22-23/1122,"Aug 29, 2022 - Perpetual",manoj.agarwal@seafund.in,Manoj Agarwal,"Samprapthi No 548 35 2nd Floor 50 Feet Road Hanumanth Nagar, BSK 1st Stage 1st Block, BANGALORE, KARNATAKA, 560050","Samprapthi No 548 35 2nd Floor 50 Feet Road Hanumanth Nagar, BSK 1st Stage 1st Block, BANGALORE, KARNATAKA, 560050",,,KARNATAKA,BANGALORE
Secura India Realty AIF,IN/AIF2/16-17/0221,"May 05, 2016 - Perpetual",,,"Secura Investment Management India Pvt Ltd., 28 2275D8,Sixth Floor,Empora Gemz NH Thondayad Bypass, KOZHIKODE, KERALA, 673016",,,,KERALA,
Securocrop Investment Trust,IN/AIF3/24-25/1669,"Dec 16, 2024 - Perpetual",im@securocrop.in,Mohit Bothra,"Unit No 203 Plaza P 3 Central Square, Bara Hindu Rao, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110006","Unit No 203 Plaza P 3 Central Square, Bara Hindu Rao, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110006",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Selco Energy Access Fund,IN/AIF1/16-17/0262,"Sep 26, 2016 - Perpetual",,,"690, 15th CROSS, 100 FEET RING ROAD, II PHASE, J P NAGAR, BANGALORE, KARNATAKA, 560078",,,,KARNATAKA,BANGALORE
Senhri Investment Fund,IN/AIF1/25-26/1999,"Dec 26, 2025 - Perpetual",kima.sailung@redvanda.vc,Malsawmkima,"Mizoram Startup Mission Planning Dept. , Block I 796005 Treasury Square Aizawl, AIZAWL, MIZORAM, 796005","Mizoram Startup Mission Planning Dept. , Block I 796005 Treasury Square Aizawl, AIZAWL, MIZORAM, 796005",,,MIZORAM,AIZAWL
Senora AIF Stag Trust,IN/AIF3/24-25/1492,"Apr 04, 2024 - Perpetual",mridul@senoraassetmanagement.com,Mridul Jalan,"Flat No. 205, B Wing, Sea Flama, Dosti Flamingos, Sewri, MUMBAI, MAHARASHTRA, 400015","Flat No. 205, B Wing, Sea Flama, Dosti Flamingos, Sewri, MUMBAI, MAHARASHTRA, 400015",,,MAHARASHTRA,MUMBAI
SENSEAI VENTURES,IN/AIF1/20-21/0817,"Jul 17, 2020 - Perpetual",vinish@senseai.ai,VINISH KATHURIA,"345 Escape, Nirvana Country, Sector 50, GURGAON, HARYANA, 122018","345 Escape, Nirvana Country, Sector 50, GURGAON, HARYANA, 122018",,,HARYANA,
SERA Capital AIF,IN/AIF3/25-26/1855,"Jul 22, 2025 - Perpetual",compliance@serafinances.com,Sagar Shah,"306, 3rd Floor, Ashirwad Paras 1, Near Kanti Bharwad PMT, Opp. Andaj Party Plot, S.G. Highway, Makarba, AHMEDABAD, GUJARAT, 380051","306, 3rd Floor, Ashirwad Paras 1, Near Kanti Bharwad PMT, Opp. Andaj Party Plot, S.G. Highway, Makarba, AHMEDABAD, GUJARAT, 380051",,,GUJARAT,
Serene Alpha Capital Trust,IN/AIF2/25-26/1823,"Jun 09, 2025 - Perpetual",info@nvest.co.in,Arunkumar Natarajan,"G 574 Basement, Sector 57 Sushant Lok II Extension, GURGAON, HARYANA, 122002","G 574 Basement, Sector 57 Sushant Lok II Extension, GURGAON, HARYANA, 122002",,,HARYANA,
Setu AIF Trust,IN/AIF2/23-24/1336,"Aug 24, 2023 - Perpetual",setuaif.nda@nishithdesai.com,Vikas Gupta,"301 3rd Floor Campus 6A RMZ Ecoworld Sarjapur, Marathahalli Outer Ring Road Bangalore 560103, BANGALORE, KARNATAKA, 560103","301 3rd Floor Campus 6A RMZ Ecoworld Sarjapur, Marathahalli Outer Ring Road Bangalore 560103, BANGALORE, KARNATAKA, 560103",,,KARNATAKA,BANGALORE
SG Real Estate Trust,IN/AIF2/23-24/1466,"Mar 22, 2024 - Perpetual",sanjaysatpal@gmail.com,Sanjay Gupta,"Plot No 5 3rd Floor Ring Road, Lajpat Nagar IV, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110024","Plot No 5 3rd Floor Ring Road, Lajpat Nagar IV, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110024",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
SH India Opportunities Trust,IN/AIF2/25-26/1863,"Jul 29, 2025 - Perpetual",pdeedwania@stratfordhouse.com,Prachi Deedwania,"2nd Floor Wework Plot No 264 265 Vaswani Chambers, Dr Annie Besant Road Worli Mumbai Maharashtra, MUMBAI, MAHARASHTRA, 400030","2nd Floor Wework Plot No 264 265 Vaswani Chambers, Dr Annie Besant Road Worli Mumbai Maharashtra, MUMBAI, MAHARASHTRA, 400030",,,MAHARASHTRA,MUMBAI
Shaan Patel Asset Management Fund,IN/AIF3/25-26/1799,"May 05, 2025 - Perpetual",roopal@singhania.com,Shaan Patel,"3rd Floor C D House Opp. Madhur Hall , Anandnagar Road Satellite, AHMEDABAD, GUJARAT, 380015","3rd Floor C D House Opp. Madhur Hall , Anandnagar Road Satellite, AHMEDABAD, GUJARAT, 380015",,,GUJARAT,
SHAH VENTURES TRUST,IN/AIF3/21-22/0923,"Aug 30, 2021 - Perpetual",rishi@shahbv.com,RISHI SHAH,"SY-252, FP-84 B, Gr 1 flr, Plot-A, TPS-5, B/S Chandra Prabha Digamber Temple, Parle Point,, SURAT, GUJARAT, 395007","SY-252, FP-84 B, Gr 1 flr, Plot-A, TPS-5, B/S Chandra Prabha Digamber Temple, Parle Point, SURAT, GUJARAT, 395007",,,GUJARAT,
SHARES BAZAAR AIF,IN/AIF3/23-24/1263,"Apr 27, 2023 - Perpetual",aif@sharesbazaar.com,BHUPAL NANAVATH,"15 31 S3 MMC, 719 A , 7th Floor, KPHB Colony, 2nd Phase, Kukatpally, HYDERABAD, TELANGANA, 500072","15 31 S3 MMC, 719 A , 7th Floor, KPHB Colony, 2nd Phase, Kukatpally, HYDERABAD, TELANGANA, 500072",,,TELANGANA,HYDERABAD
Shastra Capital Trust,IN/AIF2/24-25/1498,"Apr 18, 2024 - Perpetual",avi@shastra.vc,Avijeet Alagathi,"A 2 Regency Splendour, 25 Halls Road Richards Town Fraser Town, BANGALORE, KARNATAKA, 560005","A 2 Regency Splendour, 25 Halls Road Richards Town Fraser Town, BANGALORE, KARNATAKA, 560005",,,KARNATAKA,BANGALORE
Shastra VC Fund I,IN/AIF1/22-23/1155,"Oct 20, 2022 - Perpetual",AVI@VEDA.VC,AVIJEET ALAGATHI,"A 2, Regency Splendour, 25 Halls Road, Richards Town, Bangalore, Fraser Town, Karnataka, BANGALORE, KARNATAKA, 560005","A 2, Regency Splendour, 25 Halls Road, Richards Town, Bangalore, Fraser Town, Karnataka, BANGALORE, KARNATAKA, 560005",,,KARNATAKA,BANGALORE
